user_id_enc,user_nm_enc,is_meta,is_data,start_date,end_date,used
Y2hvb25naHl1bnJ5dQ==,7Jyg7Lap7ZiE,Y,Y,2025-11-01,9999-12-31,Y
Y2hvb25naHl1bi5yeXU=,7Jyg7Lap7ZiE,Y,Y,2025-12-16,9999-12-31,Y
