"mega_cd","mega_nm","base_cd"
"11","서울특별시","11"
"21","부산광역시","26"
"22","대구광역시","27"
"23","인천광역시","28"
"24","광주광역시","29"
"25","대전광역시","30"
"26","울산광역시","31"
"29","세종특별자치시","36"
"31","경기도","41"
"32","강원특별자치도","51"
"33","충청북도","43"
"34","충청남도","44"
"35","전북특별자치도","52"
"36","전라남도","46"
"37","경상북도","47"
"38","경상남도","48"
"39","제주특별자치도","50"
